City	locality	state 
	Giri Nagar	
	Goela Dairy	
	Goela Khurd	
	Gokalpur	
	Gokalpuri	
	Gola Kuan	
	Gole Dak Khana	
	Gole Market	
	Golf Links	
	Goman Hera	
	Gopal Nagar	
	Gopal Pur	
	Gopal Vihar	
	Gorakh Park East	
	Gorakh Park West	
	Govindpura	
	Govindpuri	
	Goyla Village	
	Greater Kailash	
	Greater Kailash 1	
	Greater Kailash 2	
	Greater Kailash 3	
	Greater Kailash 4	
	Green Park	
	Grih Kalyan Niwas	
	Gujrawala Nagar	
	Gulabi Bagh	
	Gulmohar Enclave	
	Gulmohar Park	
	Guru Angad Nagar	
	Guru Harkishan Nagar	
	Guru Nanak Nagar	
	H Block Type 1	
	H Block Type 2	
	H Block Type 3	
	Haibatpur	
	Haidarpur	
	Haji Colony	
	Hamdard Nagar	
	Hamidpur	
	Hardev Nagar	
	Hareoli	
	Hargobind Enclave	
	Hari Enclave	
	Hari Nagar	
	Harkesh Nagar	
	Hasanpur	
	Hasting Square	
	Hastsal	
	Hauz Khas	
	Hauz Qazi	
	Hauz Rani	
	Havelock Square	
	Hemkunt Colony	
	Hiran Kudna	
	Hiranki	
	Holambi Kalan	
	Holambi Khurd	
	Hudson Lane	
	Humayunpur	
	IGI Airport Area	
	IIT Campus	
	INA	
	ITO	
	Ibrahimpur	
	Inder Enclave	
	Inderlok	
	Inderpuri	
	India Gate	
	Indira Nagar	
	Indira Park	
	Indira Vihar	
	Indraprastha	
	Indraprastha Extension	
	Isapur	
	Jafarpur Kalan	
	Jaffrabad	
	Jagatpuri	
	Jagdamba	
	Jagjeet Nagar	
	Jagriti Enclave	
	Jahangirpuri	
	Jai Vihar	
	Jainpur	
	Jaitpur	
	Jal Vihar	
	Jama Masjid	
	Jamia Nagar	
	Janakpuri	
	Jangpura	
	Janpath	
	Jasola	
	Jat Khor	
	Jawahar Nagar	
	Jawalaheri	
	Jeevan Park	
	Jhandewalan	
	Jhangola	
	Jharera Village	
	Jharoda Kalan	
	Jhatikra	
	Jheel Khurenja	
	Jheemarpura Village	
	Jhilmil Colony	
	Jhilmil Industrial Area	
	Jhuljhuli	
	Jia Sarai	
	Jindal Colony	
	Jitar Nagar	
	Jiwan Nagar	
	Jnu Campus Area	
	Joga Bai	
	Johripur	
	Jonapur	
	Jonti	
	Jor Bagh	
	Kadipur	
	Kair	
	Kaka Nagar	
	Kakrola	
	Kali Bari Apartment	
	Kalkaji	
	Kalu Sarai	
	Kalyan Vihar	
	Kalyanpuri	
	Kamalpur	
	Kamaruddin Nagar	
	Kamla Market	
	Kamla Nagar	
	Kanganheri	
	Kanhiya Nagar	
	Kanjhawla	
	Kanwar Singh Nagar	
	Kapashera	
	Kapurthala Plots	
	Karala	
	Karampura	
	Karawal Nagar	
	Karkar Duma	
	Karol Bagh	
	Kashmere Gate	
	Kasturba Gandhi Marg	
	Kasumpur Village	
	Katewra	
	Kathwara	
	Katwaria Sarai	
	Keshav Park	
	Keshav Puram	
	Keshopur	
	Khajoori Khas	
	Khampur	
	Khanpur	
	Khari Baoli	
	Kharkhari Jatmal	
	Kharkhari Rondh	
	Khera	
	Khera Dabar	
	Khera Kalan	
	Khera Khurd	
	Khirki Extension	
	Khirki Village	
	Khizrabad	
	Khushk	
	Khyala	
	Kidwai Nagar	
	Kilokri	
	Kingsway Camp	
	Kirpal Bagh	
	Kirti Nagar	
	Kishan Ganj	
	Kishangarh	
	Kohat Enclave	
	Kondli	
	Krishan Vihar	
	Krishna Nagar	
	Kundli	
	Lado Sarai	
	Ladpur	
	Lady Hardinge Medical College	
	Lajpat Nagar 1	
	Lajpat Nagar 2	
	Lajpat Nagar 3	
	Lajpat Nagar 4	
	Lajwanti Garden	
	Lakhpat Colony	
	Lakshmi Nagar	
	Lal Kuan	
	Lalita Park	
	Lampur	
	Lawrence Road	
	Laxmi Nagar	
	Libaspur	
	Lodhi Colony	
	Lodhi Estate	
	Lodhi Garden	
	Lodhi Road	
	Loha Mandi	
	Loharheri	
	Lok Nayak Puram	
	Lok Vihar	
	Loni	
	MBS Nagar	
	Madangir	
	Madanpur Dabas	
	Madhu Vihar	
	Madhuban Chowk	
	Madipur	
	Maharajpur	
	Maharani Enclave	
	Mahavir Enclave 1	
	Mahavir Enclave 2	
	Mahavir Enclave 3	
	Mahendra Park	
	Mahindru Enclave	
	Mahindru Enclave Chhatrsal Stadium	
	Mahipalpur	
	Majnu Ka Tila	
	Maksudabad	
	Malakand Lines	
	Malikpur	
	Maliwara	
	Malka Ganj	
	Malviva Noae	
	Mamurpur	
	Mandawali	
	Mandi House	
	Mandli	
	Mandoli	
	Manglapuri	
	Mangolpuri	
	Mansa Ram Park	
	Mansarovar Garden	
	Mansarovar Park	
	Masudpur	
	Matiala	
	Mayapuri	
	Mayur Vihar	
	Mayur Vihar Extension	
	Mayur Vihar Phase 1	
	Mayur Vihar Phase ?	
	Mayur Vihar Phase 3	
	Meena Bagh	
	Meer Vihar	
	Meera Bagh	
	Meet Nagar	
	Mehram Nagal	
	Mehrauli	
	Milan Vihar	
	Milap Nagar	
	Minto Road	
	Mirzapur	
	Mithapur	
	Mitraon	
	Miyanwali Nagar	
	Model Town	
	Model Town 1	
	Model Town 2	
	Model Town 3	
	Mohammadpur	
	Mohan Garden	
	Mohan Nagar	
	Mori Gate	
	Moti Gaon	
	Moti Nagar	
	Motia Khan	
	Motilal Nehru Marg Area	
	Mubarakpur Dabas	
	Muhammadpur Majri	
	Mukhmelpur	
	Mukundpur	
	Mundaka	
	Mundhala Kalan	
	Mundhala Khurd	
	Mundka	
	Mungesh Pur	
	Munirka	
	Muradabad Pahari	
	Mustafabad	
	NDMC Flats Lal Bahadur Sadan	
	Nabi Karim	
	Nagla Machi	
	Naharpur Village	
	Najafgarh	
	Nanak Heri	
	Nanak Pura	
	Nand Nagri	
	Nangal Thakran	
	Nangli Puna	
	Nangli Sakrawati	
	Nangli Vihar	
	Nangloi	
	Naraina	
	Narela	
	Nasirpur Dwarka 	
	Nathupura	
	National Stadium	
	National Zoological Park	
	Nauroji Nagar	
	Navjivan Vihar	
	Nawada	
	Naya Bas	
	Nayagaon	
	Neb Sarai	
	Neelwal	
	Neeti Bagh	
	Nehru Nagar	
	Nehru Place	
	Netaji Subhash Place	
	New Ashok Nagar	
	New Friends Colony	
	New Kondli	
	New Manglapuri	
	New Moti Bagh	
	New Moti Nagar	
	New Multan Nagar	
	New Rajdhani Enclave	
	New Rajendra Nagar	
	New Seelampur	
	Nihal Vihar	
	Nilothi	
	Nirankari Colony	
	Nirman Vihar	
	Nithari	
	Nizamuddin	
	Noor Nagar	
	North Block	
	North End	
	Okhla	
	Okhla Industrial Estate Phase 1	
	Okhla Industrial Estate Phase 2	
	Okhla Industrial Estate Phase 3	
	Okhla Industrial Estate Phase 4	
	Old Rajendra Nagar	
	Om Vihar	
	Outram Lines	
	Padam Nagar	
	Paharganj	
	Pahari Dhiraj	
	Palam	
	Palla Village	
	Panchkuian Road	
	Panchseel Park	
	Panchsheel Enclave	
	Panchsheel Extension	
	Panchsheel Park	
	Panchsheel Vihar	
